Datum,Schlusskurs,Tageshoch,Tagestief
17.12.2015,13528.98,13521.59,13518.83
16.12.2015,13534.21,13530.54,13421.85
15.12.2015,13351.62,13351.62,13347.05
14.12.2015,13253.34,13249.70,13180.62
10.12.2015,13208.41,13208.41,13195.16
09.12.2015,13251.04,13240.61,13166.64
08.12.2015,13312.22,13657.31,13307.64
07.12.2015,13737.08,13736.15,13732.46
03.12.2015,13519.08,13508.56,13507.64
02.12.2015,14328.81,14328.81,14325.51
01.12.2015,14282.35,14282.35,14235.29
30.11.2015,14175.57,14175.57,14165.17
26.11.2015,14099.18,14118.04,14094.47
25.11.2015,13744.23,13744.23,13697.15
24.11.2015,13365.27,13364.33,13359.63
23.11.2015,13656.45,13656.45,13651.75
19.11.2015,13605.44,13584.01,13582.15
18.11.2015,13751.06,13751.06,13741.68
17.11.2015,13901.93,13945.14,13878.45
16.11.2015,13892.01,13892.01,13849.90
12.11.2015,13559.40,13558.48,13554.77
11.11.2015,13710.73,13700.04,13664.25
10.11.2015,13609.66,13609.66,13567.70
09.11.2015,13535.76,13534.83,13531.11
05.11.2015,13552.00,13552.00,13528.11
04.11.2015,13691.57,13797.39,13686.97
03.11.2015,13677.83,13682.39,13674.63
02.11.2015,13553.40,13553.40,13529.79
29.10.2015,13654.56,13654.56,13650.01
28.10.2015,13979.87,13998.17,13950.14
27.10.2015,14081.89,14087.33,14079.63
26.10.2015,14199.15,14198.25,14153.93
22.10.2015,14385.41,14384.51,14362.90
21.10.2015,14132.64,14131.76,14066.50
20.10.2015,14077.37,14076.49,14055.34
19.10.2015,14120.55,14119.67,14076.43
15.10.2015,14275.04,14279.44,14235.50
14.10.2015,13850.17,13871.95,13838.41
13.10.2015,14192.22,14188.70,14143.90
12.10.2015,14198.29,14188.17,14176.28
08.10.2015,14185.65,14274.32,14162.60
07.10.2015,14484.69,14474.46,14473.57
06.10.2015,14082.32,14061.92,13992.73
05.10.2015,14018.78,14027.72,14016.54
01.10.2015,14008.04,14007.60,13911.53
30.09.2015,13926.43,14051.73,13916.58
29.09.2015,14041.95,14041.95,14029.95
28.09.2015,13697.41,13693.85,13632.48
24.09.2015,13732.33,13732.33,13686.71
23.09.2015,13494.19,13493.30,13471.85
22.09.2015,13523.23,13523.23,13500.76
21.09.2015,13717.61,13716.71,13617.52
17.09.2015,13661.44,13661.44,13638.67
16.09.2015,14068.04,14085.75,13997.17
15.09.2015,13890.12,13980.65,13867.05
14.09.2015,14180.29,14179.85,14087.49
10.09.2015,13879.78,13878.45,13875.34
09.09.2015,13810.92,13810.92,13787.76
08.09.2015,13833.11,13833.11,13827.76
07.09.2015,13655.09,13651.50,13649.71
03.09.2015,14026.25,14004.68,14002.88
02.09.2015,13921.06,13920.17,13897.90
01.09.2015,13127.65,13107.32,13039.25
27.08.2015,12356.60,12356.60,12315.70
26.08.2015,12465.74,12464.86,12421.54
25.08.2015,12599.93,12599.93,12577.34
24.08.2015,12603.63,12603.63,12600.60
20.08.2015,14019.94,14019.94,13997.69
19.08.2015,14116.17,14116.17,14071.21
18.08.2015,14736.56,14736.56,14509.84
17.08.2015,14128.37,14128.37,14104.90
13.08.2015,13582.57,13581.67,13537.74
12.08.2015,13589.93,13589.48,13576.49
11.08.2015,13909.26,13908.81,13900.21
10.08.2015,13771.67,13770.76,13748.98
06.08.2015,14187.64,14187.64,14183.07
05.08.2015,14037.99,14037.07,14032.48
04.08.2015,14828.76,14828.76,14814.98
03.08.2015,14607.87,14608.78,14595.54
30.07.2015,14817.02,14880.15,14813.82
29.07.2015,14822.40,14823.77,14810.11
28.07.2015,14713.86,14703.46,14646.05
27.07.2015,13883.88,14213.85,13880.72
23.07.2015,13570.97,13611.95,13566.42
22.07.2015,13588.95,13588.95,13584.37
21.07.2015,14127.06,14126.14,14122.49
20.07.2015,14306.17,14483.09,14296.93
16.07.2015,13611.29,13610.37,13608.99
15.07.2015,13469.09,13469.09,13310.66
14.07.2015,13237.97,13260.67,12903.27
13.07.2015,12907.77,12907.77,12903.23
09.07.2015,13001.54,13001.09,12974.59
08.07.2015,12730.23,12730.23,12685.08
07.07.2015,12936.52,12926.06,12913.79
06.07.2015,12977.03,12976.13,12953.52
02.07.2015,13122.52,13122.52,13120.26
01.07.2015,12896.81,13152.75,12887.76
30.06.2015,12545.99,12545.99,12541.51
29.06.2015,12794.84,12817.09,12772.59
25.06.2015,13169.64,13571.43,13166.52
24.06.2015,13569.01,13591.32,13559.19
23.06.2015,13596.06,13596.06,13591.58
22.06.2015,13383.01,13382.13,13370.93
18.06.2015,13214.60,13214.60,13211.52
17.06.2015,12897.96,12897.96,12886.06
16.06.2015,12917.85,12917.85,12913.41
15.06.2015,12791.42,12791.42,12786.99
12.06.2015,13232.68,13232.68,13228.24
11.06.2015,13435.36,13436.25,13432.24
10.06.2015,13558.87,13558.87,13558.87
09.06.2015,13672.64,13681.50,13667.32
08.06.2015,13557.82,13602.13,13554.72
05.06.2015,13722.67,13727.17,13720.42
04.06.2015,13751.78,13750.89,13742.87
03.06.2015,13710.18,13710.18,13705.74
02.06.2015,13925.75,13925.75,13903.34
01.06.2015,14098.69,14098.69,14086.33
